User;opinionText
D. Irga B. Naufal Fakhri ;Karena kurangnya komunikasi antar mahasiswa dan dosen
Andi Husnul Khatimah;Karena dengan pembelajaran secara online saya kurang bisa memahami materi yang diberikan dosen
Fanny Shafira Damayanti;Menurut saya pembelajaran secara online tidak terlalu efektif karena dengan belajar online penyampaian materi oleh guru atau dosen kadang suka ada yang tidak jelas
Nur Ummul Annisa;Terlalu banyak tugas selama online
N Muthiah S;Karna menurut saya PBM tatap muka lebih baik dari pada PBM online
Nur Azwa;Keduanya memiliki kelamhan dan kelebihannya masing masing, seperti metode pembelajaran online biasa terkendala masalah jaringan apalagi yang tinggal di kampung
ARRIZAL FURQONA GIFARY;lebih ke belajar etika dan menghargai guru kalau metode konvensional 
M. Asyraf Mubarak Sudarmin;"Terkadang jika melakukan pembelajaran jarak jauh, banyak yang kurang fokus di setiap pertemuan, bahkan banyak yang hanya sekedar isi absen, lalu mengerjakan pekerjaan rumah jika bertabrakan dengan kuliah.
"
Sri Ayu Mauliana;Jujur
Maulydia ;saya tidak setuju dengan pembelajaran online karena sangat tidak efektif, serta kebanyakan guru atau dosen hanya membebankan tugas kepada siswa atau mahasiswanya padahal tugas atau materi yang diberikan belum pernah dijelaskan jadi banyak yang kurang paham
Fadila Prima Putri;saya tidak setuju dengan pembelajaran secara online karena materi yang di ajarkan dosen tidak sama dengan materi pas ujian
Tegar Nova Silviana;Untuk lebih baiknya masih tetap lebih baik secara offline. Karena, fokus untuk menerima pembelajaran lebih banyak, dan pemahaman lebih baik secara offline.
Wahyu kurnia sari;Saya tidak setuju apabila  pembelajaran online lebih baik daripada tatap muka karena menurut saya kurang efektif, tidak jarang juga mahasiswa mengalami kesulitan karena tidak dapat berkonsultasi langsung dengan dosen serta saat ada tugas kelompok tidak dapat berdiskusi secara langsung dan mempraktekan langsung dengan rekan sehingga tidak jarang juga menghambat pembelajaran
Satriani;saya kurang setuju dengan pembelajaran online Karena seringkali pada saat kuliah kebanyakan mahasiswa hanya sekedar ikut perkuliahan tanpa memperhatikan materi yang disampaikan oleh dosen, ada juga yang tidur atau meninggalkan handphonenya pada saat pelajaran berlangsung hanya sekedar absen dan jika dibandingkan dengan pembelajaran tatap muka pasti lebih efektif terhadap mahasiswa karena bisa bertemu langsung dengan tentunya metode belajar yang lebih menarik tidak membosankan
