"","text"
"1"," kurangnya komunikasi  mahasiswa  dosen"
"2","        memahami    dosen"
"3","       efektif     penyampaian   guru  dosen kadang suka    jelas"
"4","  tugas  "
"5","karna   pbm tatap      pbm "
"6"," memiliki kelamhan  kelebihannya    metode    terkendala  jaringan   tinggal  kampung"
"7","   etika  menghargai guru  metode konvensional"
"8","terkadang    jarak     fokus   pertemuan     sekedar isi absen   pekerjaan rumah  bertabrakan  kuliah "
"9","jujur"
"10","  setuju       efektif  kebanyakan guru  dosen  membebankan tugas    mahasiswanya  tugas            paham"
"11","  setuju         ajarkan dosen     pas ujian"
"12","  baiknya      offline  fokus  menerima     pemahaman    offline"
"13","  setuju        tatap      efektif  jarang  mahasiswa mengalami kesulitan    berkonsultasi langsung  dosen    tugas kelompok   berdiskusi  langsung  mempraktekan langsung  rekan   jarang  menghambat "
"14","  setuju     seringkali   kuliah kebanyakan mahasiswa  sekedar  perkuliahan  memperhatikan     dosen    tidur  meninggalkan handphonenya   pelajaran   sekedar absen   dibandingkan   tatap    efektif  mahasiswa   bertemu langsung   metode    menarik  membosankan"
"15"," konsentrasi  gangguan jaringan  memahami  efisien"
"16","     lama cukup membosankan    berinteraksi langsung  dosen  temanteman"
"17","    masingmasing memiliki kekurangan  kelebihan   kelebihan  daring    dimanapun    kampus   menghemat biaya  kekuranganya     jaringan   stabil  mengganggu proses "
"18","   efektif  efisien"
"19","    terpenuhi       hp android    daerah  domisili    jangkau jaringan internet  kebanyakan   passif "
"20","karna  paham pembahasan  "
"21","  setuju  metode      efisien   kendala salah satunya  jaringan"
"22"," tatap   efektif dibanding      tatap  penyampaian informasi  transfer ilmu  efektif   transfer emosional  "
"23","        nilai nilai kebiasaan      "
"24","metode tatap    efektif metode       mudah stres sulit fokus     sulit   tugas   sulit mengembangkan nilainilai karakter  kecakapan  sebagain  aktivitas    rumah    interaksi  alami   kampus"
